Earth x,Earth y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
114.4346609,20.17791824,34.45284883,28.90937275,80.79404554,23.16731976,175.9647206,19.11588596
109.1922825,39.74274065,7.809826791,44.29172869,71.27844248,44.53971416,172.8709933,38.00815291
100.6321519,58.1,-22.4875,38.94949254,56.24042746,62.46132258,167.7550086,56.45579775
89.01436429,74.69192025,-42.26267562,15.38235595,36.84509489,75.54363959,160.6766137,74.24301859
74.69192025,89.01436429,-42.26267562,-15.38235595,14.59512933,82.77309164,151.7186122,91.16173926
58.1,100.6321519,-22.4875,-38.94949254,-8.785617338,83.58956531,140.9857955,107.0140433
39.74274065,109.1922825,7.809826791,-44.29172869,-31.48568418,77.92980298,128.6037168,121.6144894
20.17791824,114.4346609,34.45284883,-28.90937275,-51.746347,66.23230384,114.7172225,134.7922804
1.78E-14,116.2,44.975,-1.78E-15,-67.99787838,49.40335046,99.48875788,146.3932616
-20.17791824,114.4346609,34.45284883,28.90937275,-78.98116478,28.74679305,83.09646661,156.2817239
-39.74274065,109.1922825,7.809826791,44.29172869,-83.84525842,5.863031618,65.73210689,164.3419914
-58.1,100.6321519,-22.4875,38.94949254,-82.21330584,-17.47497761,47.59880825,170.4797743
-74.69192025,89.01436429,-42.26267562,15.38235595,-74.21174518,-39.45908485,28.90869532,174.6232726
-89.01436429,74.69192025,-42.26267562,-15.38235595,-60.46051022,-58.38603604,9.880406384,176.7240153
-100.6321519,58.1,-22.4875,-38.94949254,-42.025,-72.78943519,-9.263464255,176.7574277
-109.1922825,39.74274065,7.809826791,-44.29172869,-20.33353533,-81.55335579,-28.29897022,174.7231189
-114.4346609,20.17791824,34.45284883,-28.90937275,2.933302698,-83.99879901,-47.0034328,170.6448865
-116.2,7.82E-14,44.975,-8.88E-15,25.97287838,-79.93630019,-65.15804583,164.570438
-114.4346609,-20.17791824,34.45284883,28.90937275,47.00016354,-69.68060797,-82.55043534,156.5708326
-109.1922825,-39.74274065,7.809826791,44.29172869,64.38603544,-54.02629859,-98.97714391,146.7396503
-100.6321519,-58.1,-22.4875,38.94949254,76.78349571,-34.18621485,-114.2460107,135.1918971
-89.01436429,-74.69192025,-42.26267562,15.38235595,83.23203118,-11.69749914,-128.1784195,122.0626592
-74.69192025,-89.01436429,-42.26267562,-15.38235595,83.23203118,11.69749914,-140.6113878,107.5055236
-58.1,-100.6321519,-22.4875,-38.94949254,76.78349571,34.18621485,-151.399474,91.69078066
-39.74274065,-109.1922825,7.809826791,-44.29172869,64.38603544,54.02629859,-160.4164783,74.80343233
-20.17791824,-114.4346609,34.45284883,-28.90937275,47.00016354,69.68060797,-167.556919,57.04102806
-1.03E-13,-116.2,44.975,-1.60E-14,25.97287838,79.93630019,-172.7372669,38.61135373
20.17791824,-114.4346609,34.45284883,28.90937275,2.933302698,83.99879901,-175.8969217,19.730001
39.74274065,-109.1922825,7.809826791,44.29172869,-20.33353533,81.55335579,-176.9989217,0.6178453
58.1,-100.6321519,-22.4875,38.94949254,-42.025,72.78943519,-176.0303755,-18.501538
74.69192025,-89.01436429,-42.26267562,15.38235595,-60.46051022,58.38603604,-173.0026133,-37.40448897
89.01436429,-74.69192025,-42.26267562,-15.38235595,-74.21174518,39.45908485,-167.9510541,-55.86987954
100.6321519,-58.1,-22.4875,-38.94949254,-82.21330584,17.47497761,-160.9347913,-73.68170023
109.1922825,-39.74274065,7.809826791,-44.29172869,-83.84525842,-5.863031618,-152.0359018,-90.63158708
114.4346609,-20.17791824,34.45284883,-28.90937275,-78.98116478,-28.74679305,-141.3584853,-106.5212591
116.2,-3.20E-14,44.975,-2.31E-14,-67.99787838,-49.40335046,-129.0274471,-121.1648377
114.4346609,20.17791824,34.45284883,28.90937275,-51.746347,-66.23230384,-115.1870365,-134.3910214
